protectionism;Protectionism;x
free_trade;Free Trade;x
laissez_faire;Laissez-Faire;x
interventionism;Interventionism;x
state_capitalism;State Capitalism;x
planned_economy;Planned Economy;x
pro_atheism;Atheism;x
secularized;Secularised;x
pluralism;Pluralism;x
moralism;Moralism;x
residency;Residency;x
limited_citizenship;Limited Citizenship;x
full_citizenship;Full Citizenship;x
jingoism;Jingoism;x
pro_military;Pro-Military;x
anti_military;Anti-Military;x
pacifism;Pacifism;x
wage_reform;Minimum Wage;x
work_hours;Max. Workhours;x
safety_regulations;Safety Regulations;x
unemployment_subsidies;Unemployment Subsidies;x
school_reforms;School System;x
pensions;Pensions;x
health_care;Health Care;x
penal_system;Penal System;x
political_parties;Political Parties;x
upper_house_composition;Upper House;x
conscription;Conscription;x
trade_unions;Trade Unions;x
vote_franschise;Vote Franchise;x
centralization;Centralization;x
voting_system;Voting System;x
citizens_rights;Political Rights;x
public_meetings;Public Meetings;x
child_labor;Child Labour;x
border_policy;Border Policy;x
press_rights;Press Rights;x
slavery;Slavery;x
debt_law;Debt Law;x
colonial_migration;Colonial Migration;x
research_and_development;Research & Development;x
no_minimum_wage;No Minimum Wage;x
trinket_wage;Trinket Minimum Wage;x
low_minimum_wage;Low Minimum Wage;x
acceptable_minimum_wage;Acceptable Minimum Wage;x
good_minimum_wage;Good Minimum Wage;x
no_work_hour_limit;Unlimited Work Day;x
fourteen_hours;14-Hour Work Day;x
twelve_hours;12-Hour Work Day;x
ten_hours;10-Hour Work Day;x
eight_hours;8-Hour Work Day;x
no_safety;No Safety Regulations;x
trinket_safety;Minimal Safety Regulations;x
low_safety;Limited Safety Regulations;x
acceptable_safety;Acceptable Safety Regulations;x
good_safety;Excellent Safety Regulations;x
no_subsidies;No Subsidies;x
trinket_subsidies;Trinket Subsidies;x
low_subsidies;Low Subsidies;x
acceptable_subsidies;Extended Subsidies;x
good_subsidies;Generous Subsidies;x
no_schools;No School System;x
low_schools;Basic School System;x
acceptable_schools;Acceptable School System;x
good_schools;Good School System;x
compulsory_schools;Compulsory School System;x
no_pensions;No Pensions;x
trinket_pensions;Trinket Pensions;x
low_pensions;Low Pensions;x
acceptable_pensions;Acceptable Pensions;x
good_pensions;Good Pensions;x
no_health_care;No Healthcare;x
trinket_health_care;Trinket Healthcare;x
low_health_care;Low Healthcare;x
acceptable_health_care;Acceptable Healthcare;x
good_health_care;Good Healthcare;x
universal_health_care;Universal Healthcare;x
capital_punishment;Capital Punishment;x
punitive_labour;Punitive Labour;x
incarceration;Incarceration;x
rehabilitation;Rehabilitation;x
underground_parties;Only Underground;x
harassment;Harassment;x
gerrymandering;Gerrymandering;x
non_secret_ballots;Non-Secret Ballots;x
secret_ballots;Secret Ballots;x
party_appointed;Ruling Party Only;x
appointed;Appointed;x
state_equal_weight;Two per State;x
population_equal_weight;Based on Population;x
mandatory_service;Mandatory Service;x
four_year_draft;Four Year Draft;x
two_year_draft;Two Year Draft;x
one_year_draft;One Year Draft;x
no_draft;No Draft;x
no_trade_unions;Illegal;x
state_controlled;State Controlled;x
non_socialist;Non-Socialist Allowed;x
all_trade_unions;All Allowed;x
none_voting;No Voting;x
landed_voting;Only Landed;x
wealth_weighted_voting;Weighted Wealth;x
wealth_voting;Wealth;x
universal_weighted_voting;Weighted Universal;x
universal_voting;Universal;x
totalitarianism;Totalitarianism;x
regionalism;Regionalism;x
confederalism;Confederalism;x
federalism;Federalism;x
unitary;Unitary;x
primary_culture_only;Restricted Rights;x
culture_voting_only;Cultural Rights;x
all_voting_pops;All Allowed Rights;x
first_past_the_post;First Past the Post;x
jefferson_method;Jefferson Method;x
proportional_representation;Proportional Representation;x
no_meeting;Meetings Not Allowed;x
yes_meeting;Meetings Allowed;x
child_labor_legal;Child Labour Legal;x
child_labor_restricted;Child Labour Restricted;x
child_labor_illegal;Child Labour Illegal;x
closed_borders;Closed Borders;x
quota_immigration;Immigration Quotas;x
open_borders;Open Borders;x
state_press;State Press Only;x
censored_press;Censored Press;x
free_press;Free Press;x
yes_slavery;Allowed;x
freedom_of_womb;Freedom of Womb;x
no_slavery;Outlawed;x
serfdom;Serfdom;x
peonage;Peonage;x
debtors_prisons;Debtors' Prisons;x
bankruptcy;Bankruptcy;x
high_colonial_migration;High Colonial Migration;x
medium_colonial_migration;Medium Colonial Migration;x
low_colonial_migration;Low Colonial Migration;x
no_colonial_migration;No Colonial Migration;x
no_rnd;No R&D;x
rudimentary_rnd;Rudimentary R&D;x
very_low_rnd;Very Low R&D;x
low_rnd;Low R&D;x
basic_rnd;Basic R&D;x
moderate_rnd;Moderate R&D;x
acceptable_rnd;Acceptable R&D;x
good_rnd;Good R&D;x
very_good_rnd;Very Good R&D;x
advanced_rnd;Advanced R&D;x
futuristic_rnd;Futuristic R&D;x
protectionism_desc;Trade between nations is restricted;x
free_trade_desc;Merchants are able to act and transact without interference from the government;x
laissez_faire_desc;Industry is free from government interference;x
interventionism_desc;In general this is a free market economy but the government reserves the right to intervene when the national interest requires it;x
state_capitalism_desc;The State controls the commanding heights of the economy but limited free enterprise is allowed;x
planned_economy_desc;The government makes all decisions on the production and consumption of goods and services;x
pro_atheism_desc;Total separation between church and state, religion is purely a private matter;x
secularized_desc;Religion is not explicitly part of state policy, but the state tips its hat to traditional religious values;x
pluralism_desc;The state religion is actively promoted but other religions are tolerated;x
moralism_desc;Church and state are a single body, and religious minorities face discrimination;x
residency_desc;This party supports politics to limit citizenship and political rights of minorities and immigrants;x
limited_citizenship_desc;This party supports politics to limit citizenship and political rights to people of the same cultural group of this nation;x
full_citizenship_desc;This party supports every vote being equal;x
jingoism_desc;The military is the centrepiece of the state and military spending is prioritised;x
pro_military_desc;The government is a strong supporter of the armed forces;x
anti_military_desc;The armed forces are a drain on the state coffers and the government feels money is better spent elsewhere;x
pacifism_desc;The government is actively hostile to the interests of the military, feeling they are opposed to the government policies;x
no_minimum_wage_desc;No minimum level for wages;x
trinket_wage_desc;Minimum wages are very low;x
low_minimum_wage_desc;Minimum wages are low;x
acceptable_minimum_wage_desc;Minimum wages are acceptable to most people;x
good_minimum_wage_desc;Minimum wages are above the normal;x
no_work_hour_limit_desc;No limit on working hours per day. Workers have virtually no rights and employers do as they please with their workers. Conditions in some workplaces are analogue to slavery.;x
fourteen_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At fourteen hours per day, most workers have barely any time for their families;x
twelve_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At twelve hours per day, workers are starting to have time to spend with their families and are quickly becoming common visitors of taverns and cabarets after work;x
ten_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. Weekends without work are a common occurrence and white-collar workers have a system of annual vacations;x
eight_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At eight hours per day, almost all workers have the right to weekends off and annual vacations. Free time for leisure is at an all time high and the entertainment industry is in the middle of a boom. All over our country resorts emerge thanks to cheap hotels and inexpensive railway fares, widespread banking holidays and we watch the fading of many religious prohibitions against secular activities on Sundays;x
no_safety_desc;Death or grievous injuries in the workplace isn't a rare occurrence as employers don't need to think about safety, only profit. The government has no governing legislation covering safety in the workplace and workers rarely manage to sue their employers over accidents;x
